plate,rodent_uid,blood_sample,blood_sample_id,450,630,450-630,Result,,
4,2_SEI_016,TRUE,132,0.064,0.039,0.025,0.14619883,,negative
4,2_SEI_017,TRUE,133,0.101,0.072,0.029,0.169590643,,negative
4,2_SEI_018,TRUE,134,0.121,0.087,0.034,0.198830409,,negative
4,2_SEI_019,TRUE,135,0.093,0.066,0.027,0.157894737,,negative
4,2_SEI_020,TRUE,136,0.111,0.085,0.026,0.152046784,,negative
4,2_SEI_021,TRUE,137,0.075,0.051,0.024,0.140350877,,negative
4,2_SEI_022,TRUE,138,0.179,0.154,0.025,0.14619883,,negative
4,2_SEI_023,TRUE,139,0.052,0.009,0.043,0.251461988,,negative
4,2_SEI_024,TRUE,140,0.064,0.031,0.033,0.192982456,,negative
4,2_SEI_025,TRUE,141,0.109,0.074,0.035,0.204678363,,negative
4,2_SEI_026,TRUE,142,0.16,0.089,0.071,0.415204678,,negative
4,2_SEI_027,TRUE,143,0.071,0.045,0.026,0.152046784,,negative
4,2_SEI_028,TRUE,144,0.098,0.067,0.031,0.18128655,,negative
4,2_SEI_029,TRUE,145,0.087,0.062,0.025,0.14619883,,negative
4,2_SEI_030,TRUE,146,0.164,0.148,0.016,0.093567251,,negative
4,2_SEI_031,TRUE,147,0.051,0.008,0.043,0.251461988,,negative
4,2_SEI_032,TRUE,148,0.452,0.028,0.424,2.479532164,,positive
4,2_SEI_033,TRUE,149,0.116,0.072,0.044,0.257309942,,negative
4,2_SEI_034,TRUE,150,0.117,0.071,0.046,0.269005848,,negative
4,2_SEI_035,TRUE,151,0.079,0.033,0.046,0.269005848,,negative
4,2_SEI_036,TRUE,152,0.087,0.05,0.037,0.216374269,,negative
4,2_SEI_037,TRUE,153,0.091,0.044,0.047,0.274853801,,negative
4,2_SEI_038,TRUE,154,0.155,0.13,0.025,0.14619883,,negative
4,2_SEI_039,TRUE,155,0.158,0.01,0.148,0.865497076,,negative
4,2_SEI_040,TRUE,156,0.071,0.046,0.025,0.14619883,,negative
4,2_SEI_041,TRUE,157,0.091,0.064,0.027,0.157894737,,negative
4,2_SEI_042,TRUE,158,0.124,0.086,0.038,0.222222222,,negative
4,2_SEI_043,TRUE,159,0.063,0.043,0.02,0.116959064,,negative
4,2_SEI_044,TRUE,160,0.079,0.059,0.02,0.116959064,,negative
4,2_SEI_045,TRUE,161,0.074,0.049,0.025,0.14619883,,negative
4,2_SEI_046,TRUE,162,0.156,0.145,0.011,0.064327485,,negative
5,NA,,neg,0.07,0.05,0.02,0.17,,
5,NA,,neg,0.15,,,,,
5,NA,,neg,0.179,,,,,
5,NA,,pos,1.582,0.144,1.438,8.458823529,,positive
5,2_SEI_047,TRUE,163,0.176,0.096,0.08,0.470588235,,negative
5,2_SEI_048,TRUE,164,0.286,0.131,0.155,0.911764706,,equivocal
5,2_SEI_049,TRUE,165,0.155,0.117,0.038,0.223529412,,negative
5,2_SEI_050,TRUE,166,0.21,0.192,0.018,0.105882353,,negative
